:START_ID(Tweet),:END_ID(Tweet),:TYPE
930045566989500416,930044703378198528,Retweet
930044703378198528,930045566989500416,Retweeted
930045564082831361,930044357545201664,Retweet
930044357545201664,930045564082831361,Retweeted
930045563130671104,930045075576385536,Retweet
930045075576385536,930045563130671104,Retweeted
930045557397164032,930044089726201857,Retweet
930044089726201857,930045557397164032,Retweeted
930045553626333185,930043353521180672,Retweet
930043353521180672,930045553626333185,Retweeted
930045543010545664,930044799448526848,Retweet
930044799448526848,930045543010545664,Retweeted
930045541068701696,930044227828011009,Retweet
930044227828011009,930045541068701696,Retweeted
930045536928968704,930044558422949888,Retweet
930044558422949888,930045536928968704,Retweeted
930045536060575745,930044199780708352,Retweet
930044199780708352,930045536060575745,Retweeted
930045535595134977,930044558422949888,Retweet
930044558422949888,930045535595134977,Retweeted
930045534236282880,930044558422949888,Retweet
930044558422949888,930045534236282880,Retweeted
930045528477523968,930045379340578817,Retweet
930045379340578817,930045528477523968,Retweeted
930045527877660672,930044947679666176,Retweet
930044947679666176,930045527877660672,Retweeted
930045525759492096,930045379340578817,Retweet
930045379340578817,930045525759492096,Retweeted
930045523335270400,930045077086441472,Retweet
930045077086441472,930045523335270400,Retweeted
930045522307698688,930043032434610176,Retweet
930043032434610176,930045522307698688,Retweeted
930045521905045505,930045016604540928,Retweet
930045016604540928,930045521905045505,Retweeted
930045512815955968,930044165685202944,Retweet
930044165685202944,930045512815955968,Retweeted
930045511368937474,930044637372223488,Retweet
930044637372223488,930045511368937474,Retweeted
930045509305221120,930042789471043586,Retweet
930042789471043586,930045509305221120,Retweeted
930045498249105408,930045077086441472,Retweet
930045077086441472,930045498249105408,Retweeted
930045487549435905,930044127315615745,Retweet
930044127315615745,930045487549435905,Retweeted
930045485557190658,930044612504297472,Retweet
930044612504297472,930045485557190658,Retweeted
930045480255524864,930045151510069248,Retweet
930045151510069248,930045480255524864,Retweeted
930045471086825473,930045100922736645,Retweet
930045100922736645,930045471086825473,Retweeted
930045470461906944,930045379340578817,Retweet
930045379340578817,930045470461906944,Retweeted
930045461267976192,930044387274391552,Retweet
930044387274391552,930045461267976192,Retweeted
930045456461287425,930043022347251713,Retweet
930043022347251713,930045456461287425,Retweeted
930045450559815680,930044089726201857,Retweet
930044089726201857,930045450559815680,Retweeted
930045449347784706,930043132254867457,Retweet
930043132254867457,930045449347784706,Retweeted
930045447116349441,930043475239800832,Retweet
930043475239800832,930045447116349441,Retweeted
930045442045464578,930044558422949888,Retweet
930044558422949888,930045442045464578,Retweeted
930045437041610752,930044227828011009,Retweet
930044227828011009,930045437041610752,Retweeted
930045429261242369,930044558422949888,Retweet
930044558422949888,930045429261242369,Retweeted
930045427306545154,930044558422949888,Retweet
930044558422949888,930045427306545154,Retweeted
930045424852856832,930045287069921285,Retweet
930045287069921285,930045424852856832,Retweeted
930045424806780928,930045287069921285,Retweet
930045287069921285,930045424806780928,Retweeted
930045424806723584,930045287069921285,Retweet
930045287069921285,930045424806723584,Retweeted
930045424794087424,930045287069921285,Retweet
930045287069921285,930045424794087424,Retweeted
930045424785752065,930045287069921285,Retweet
930045287069921285,930045424785752065,Retweeted
930045424785747968,930045287069921285,Retweet
930045287069921285,930045424785747968,Retweeted
930045424462839816,930045287069921285,Retweet
930045287069921285,930045424462839816,Retweeted
930045424450203648,930045287069921285,Retweet
930045287069921285,930045424450203648,Retweeted
930045424446013440,930045287069921285,Retweet
930045287069921285,930045424446013440,Retweeted
930045424446009349,930045287069921285,Retweet
930045287069921285,930045424446009349,Retweeted
930045424437682176,930045287069921285,Retweet
930045287069921285,930045424437682176,Retweeted
930045424429182977,930045287069921285,Retweet
930045287069921285,930045424429182977,Retweeted
930045424416649218,930045287069921285,Retweet
930045287069921285,930045424416649218,Retweeted
930045424404119554,930045287069921285,Retweet
930045287069921285,930045424404119554,Retweeted
930045424131497984,930045287069921285,Retweet
930045287069921285,930045424131497984,Retweeted
930045424009752578,930045287069921285,Retweet
930045287069921285,930045424009752578,Retweeted
930045423988781056,930045287069921285,Retweet
930045287069921285,930045423988781056,Retweeted
930045422390927360,930044558422949888,Retweet
930044558422949888,930045422390927360,Retweeted
930045422256525312,930045287069921285,Retweet
930045287069921285,930045422256525312,Retweeted
930045422147530753,930045287069921285,Retweet
930045287069921285,930045422147530753,Retweeted
930045422143397888,930045287069921285,Retweet
930045287069921285,930045422143397888,Retweeted
930045422139088896,930045287069921285,Retweet
930045287069921285,930045422139088896,Retweeted
930045422122311685,930045287069921285,Retweet
930045287069921285,930045422122311685,Retweeted
930045422122307584,930045287069921285,Retweet
930045287069921285,930045422122307584,Retweeted
930045422113996806,930045287069921285,Retweet
930045287069921285,930045422113996806,Retweeted
930045422093049856,930045287069921285,Retweet
930045287069921285,930045422093049856,Retweeted
930045422067781632,930045287069921285,Retweet
930045287069921285,930045422067781632,Retweeted
930045422059397122,930045287069921285,Retweet
930045287069921285,930045422059397122,Retweeted
930045422055276544,930045287069921285,Retweet
930045287069921285,930045422055276544,Retweeted
930045422051106816,930045287069921285,Retweet
930045287069921285,930045422051106816,Retweeted
930045422046928896,930045287069921285,Retweet
930045287069921285,930045422046928896,Retweeted
930045420570423296,930045287069921285,Retweet
930045287069921285,930045420570423296,Retweeted
930045420117438464,930045287069921285,Retweet
930045287069921285,930045420117438464,Retweeted
930045420083933184,930045287069921285,Retweet
930045287069921285,930045420083933184,Retweeted
930045420067201024,930045287069921285,Retweet
930045287069921285,930045420067201024,Retweeted
930045420054577153,930045287069921285,Retweet
930045287069921285,930045420054577153,Retweeted
930045420050440192,930045287069921285,Retweet
930045287069921285,930045420050440192,Retweeted
930045420046245888,930045287069921285,Retweet
930045287069921285,930045420046245888,Retweeted
930045420037799937,930045287069921285,Retweet
930045287069921285,930045420037799937,Retweeted
930045420025159681,930045287069921285,Retweet
930045287069921285,930045420025159681,Retweeted
930045419861688320,930045287069921285,Retweet
930045287069921285,930045419861688320,Retweeted
930045419698102272,930045287069921285,Retweet
930045287069921285,930045419698102272,Retweeted
930045419609927680,930045287069921285,Retweet
930045287069921285,930045419609927680,Retweeted
930045419534434305,930045287069921285,Retweet
930045287069921285,930045419534434305,Retweeted
930045419400306689,930045287069921285,Retweet
930045287069921285,930045419400306689,Retweeted
930045419396014080,930045287069921285,Retweet
930045287069921285,930045419396014080,Retweeted
930045419123630080,930045287069921285,Retweet
930045287069921285,930045419123630080,Retweeted
930045419098275840,930045287069921285,Retweet
930045287069921285,930045419098275840,Retweeted
930045419043692545,930045287069921285,Retweet
930045287069921285,930045419043692545,Retweeted
930045418997555201,930045287069921285,Retweet
930045287069921285,930045418997555201,Retweeted
930045418884304896,930045287069921285,Retweet
930045287069921285,930045418884304896,Retweeted
930045418783752192,930045287069921285,Retweet
930045287069921285,930045418783752192,Retweeted
930045418737582080,930045287069921285,Retweet
930045287069921285,930045418737582080,Retweeted
930045418720735232,930045287069921285,Retweet
930045287069921285,930045418720735232,Retweeted
930045418691469312,930045287069921285,Retweet
