:START_ID(User),:END_ID(Tweet),:TYPE
28104354,930045570336591877,Post
930045570336591877,28104354,Posted
416267587,930045570181451777,Post
930045570181451777,416267587,Posted
860772817,930045570093387776,Post
930045570093387776,860772817,Posted
888704456,930045570030465025,Post
930045570030465025,888704456,Posted
888472824062648320,930045568491163653,Post
930045568491163653,888472824062648320,Posted
4847424813,930045567664783362,Post
930045567664783362,4847424813,Posted
930035995382370304,930045567320907776,Post
930045567320907776,930035995382370304,Posted
917190907316850690,930045567291527168,Post
930045567291527168,917190907316850690,Posted
776839703832035328,930045567228628992,Post
930045567228628992,776839703832035328,Posted
1453575974,930045566989500416,Post
930045566989500416,1453575974,Posted
891694282951847937,930045566557523968,Post
930045566557523968,891694282951847937,Posted
15074379,930045566381363200,Post
930045566381363200,15074379,Posted
139348176,930045566247059456,Post
930045566247059456,139348176,Posted
12517402,930045566058422272,Post
930045566058422272,12517402,Posted
19654407,930045565982969857,Post
930045565982969857,19654407,Posted
127989415,930045565790052352,Post
930045565790052352,127989415,Posted
402050068,930045565509033984,Post
930045565509033984,402050068,Posted
318227191,930045565378818049,Post
930045565378818049,318227191,Posted
2772233570,930045565051789312,Post
930045565051789312,2772233570,Posted
909923843912937472,930045564712112128,Post
930045564712112128,909923843912937472,Posted
327427368,930045564162596865,Post
930045564162596865,327427368,Posted
17689255,930045564082831361,Post
930045564082831361,17689255,Posted
806916733176905733,930045563910762497,Post
930045563910762497,806916733176905733,Posted
2734331038,930045563692834816,Post
930045563692834816,2734331038,Posted
859028711881965569,930045563130671104,Post
930045563130671104,859028711881965569,Posted
128427251,930045562812059649,Post
930045562812059649,128427251,Posted
3707933962,930045562073776129,Post
930045562073776129,3707933962,Posted
3379877589,930045561541193736,Post
930045561541193736,3379877589,Posted
1378357482,930045561532747776,Post
930045561532747776,1378357482,Posted
188880804,930045561469853696,Post
930045561469853696,188880804,Posted
738360816,930045560874205185,Post
930045560874205185,738360816,Posted
2196452201,930045560815607809,Post
930045560815607809,2196452201,Posted
37034483,930045559779467264,Post
930045559779467264,37034483,Posted
2573480784,930045558353522688,Post
930045558353522688,2573480784,Posted
4717512933,930045558022123520,Post
930045558022123520,4717512933,Posted
602371247,930045557397164032,Post
930045557397164032,602371247,Posted
2199856924,930045557317472256,Post
930045557317472256,2199856924,Posted
18457896,930045555958358017,Post
930045555958358017,18457896,Posted
891334064157937664,930045555937611777,Post
930045555937611777,891334064157937664,Posted
326514673,930045555920785408,Post
930045555920785408,326514673,Posted
3407583743,930045555694297088,Post
930045555694297088,3407583743,Posted
378054350,930045555606196224,Post
930045555606196224,378054350,Posted
2416165219,930045555476013059,Post
930045555476013059,2416165219,Posted
924665631957573674,930045555178377216,Post
930045555178377216,924665631957573674,Posted
237367773,930045554649858048,Post
930045554649858048,237367773,Posted
553880367,930045554402328577,Post
930045554402328577,553880367,Posted
843810326,930045554201153536,Post
930045554201153536,843810326,Posted
19088288,930045553626333185,Post
930045553626333185,19088288,Posted
445714821,930045553551069184,Post
930045553551069184,445714821,Posted
371483512,930045553299337219,Post
930045553299337219,371483512,Posted
917331339950428160,930045552712192000,Post
930045552712192000,917331339950428160,Posted
217735834,930045552095612928,Post
930045552095612928,217735834,Posted
166041974,930045552003252224,Post
930045552003252224,166041974,Posted
3894749668,930045551642664961,Post
930045551642664961,3894749668,Posted
811133017326583809,930045551189557249,Post
930045551189557249,811133017326583809,Posted
364756885,930045551114059776,Post
930045551114059776,364756885,Posted
617249060,930045550518587392,Post
930045550518587392,617249060,Posted
948914569,930045549784449024,Post
930045549784449024,948914569,Posted
305979692,930045548786323457,Post
930045548786323457,305979692,Posted
286089322,930045548161142784,Post
930045548161142784,286089322,Posted
1084755385,930045547930517506,Post
930045547930517506,1084755385,Posted
379512051,930045547888742400,Post
930045547888742400,379512051,Posted
854696867623563264,930045547754516480,Post
930045547754516480,854696867623563264,Posted
633431095,930045547691593729,Post
930045547691593729,633431095,Posted
820798453668282369,930045547196579840,Post
930045547196579840,820798453668282369,Posted
929793875006443520,930045546068348928,Post
930045546068348928,929793875006443520,Posted
972385555,930045545833476096,Post
930045545833476096,972385555,Posted
1593775801,930045545674166272,Post
930045545674166272,1593775801,Posted
846829170,930045545485348864,Post
930045545485348864,846829170,Posted
343009833,930045545279840256,Post
930045545279840256,343009833,Posted
150791272,930045545175027712,Post
930045545175027712,150791272,Posted
829299411771600897,930045544373870592,Post
930045544373870592,829299411771600897,Posted
814127253932179457,930045543874809856,Post
930045543874809856,814127253932179457,Posted
290441015,930045543857795072,Post
930045543857795072,290441015,Posted
987626761,930045543010594816,Post
930045543010594816,987626761,Posted
460942529,930045543010545664,Post
930045543010545664,460942529,Posted
825894709524623361,930045542968766465,Post
930045542968766465,825894709524623361,Posted
2961549729,930045542805200896,Post
930045542805200896,2961549729,Posted
17681306,930045542721208320,Post
930045542721208320,17681306,Posted
18066377,930045542318641152,Post
930045542318641152,18066377,Posted
263813315,930045541525966848,Post
930045541525966848,263813315,Posted
4229303566,930045541102309376,Post
930045541102309376,4229303566,Posted
308693426,930045541068701696,Post
930045541068701696,308693426,Posted
4854276599,930045540091523074,Post
930045540091523074,4854276599,Posted
817756964444737538,930045539948797952,Post
930045539948797952,817756964444737538,Posted
124814437,930045539827073024,Post
930045539827073024,124814437,Posted
361097851,930045539290308608,Post
930045539290308608,361097851,Posted
733677517836423168,930045538875080704,Post
930045538875080704,733677517836423168,Posted
483302031,930045538631905280,Post
930045538631905280,483302031,Posted
80113567,930045538568933377,Post
930045538568933377,80113567,Posted
53296718,930045538531192837,Post
930045538531192837,53296718,Posted
394404543,930045538300518402,Post
930045538300518402,394404543,Posted
25393894,930045538011111424,Post
930045538011111424,25393894,Posted
131409580,930045537767784449,Post
930045537767784449,131409580,Posted
792100041733308416,930045537444941824,Post
930045537444941824,792100041733308416,Posted
4830392379,930045537189027840,Post
930045537189027840,4830392379,Posted
3687806419,930045536928968704,Post
930045536928968704,3687806419,Posted
242653054,930045536731914241,Post
930045536731914241,242653054,Posted
27943005,930045536660533248,Post
930045536660533248,27943005,Posted
134775392,930045536429924352,Post
930045536429924352,134775392,Posted
852725859370754048,930045536060575745,Post
930045536060575745,852725859370754048,Posted
788115871352881152,930045535595134977,Post
930045535595134977,788115871352881152,Posted
854325771480948736,930045535448285185,Post
930045535448285185,854325771480948736,Posted
48885342,930045535163240449,Post
930045535163240449,48885342,Posted
18243575,930045535146381312,Post
930045535146381312,18243575,Posted
2480729655,930045534257205248,Post
930045534257205248,2480729655,Posted
459328137,930045534236282880,Post
930045534236282880,459328137,Posted
282403340,930045532571164672,Post
930045532571164672,282403340,Posted
795796007242104832,930045532063567872,Post
930045532063567872,795796007242104832,Posted
1022550523,930045531723915264,Post
930045531723915264,1022550523,Posted
822448315912617984,930045531426041856,Post
930045531426041856,822448315912617984,Posted
817590341146705921,930045530528518145,Post
930045530528518145,817590341146705921,Posted
3057262231,930045530482380801,Post
930045530482380801,3057262231,Posted
1110503400,930045530180161536,Post
930045530180161536,1110503400,Posted
239849179,930045530016833536,Post
930045530016833536,239849179,Posted
813588286442704896,930045529886781442,Post
930045529886781442,813588286442704896,Posted
325644793,930045529647706113,Post
930045529647706113,325644793,Posted
174342900,930045529291149312,Post
930045529291149312,174342900,Posted
712952940613361664,930045529106432000,Post
930045529106432000,712952940613361664,Posted
4831509105,930045528754225152,Post
930045528754225152,4831509105,Posted
792679291691606016,930045528477523968,Post
930045528477523968,792679291691606016,Posted
3403850698,930045528414609410,Post
930045528414609410,3403850698,Posted
828272833956610048,930045527982424064,Post
930045527982424064,828272833956610048,Posted
823904213721907202,930045527877660672,Post
930045527877660672,823904213721907202,Posted
319395075,930045527428870144,Post
930045527428870144,319395075,Posted
257216911,930045526787153921,Post
930045526787153921,257216911,Posted
822569384157843457,930045526413856768,Post
930045526413856768,822569384157843457,Posted
718214940251840512,930045525885374464,Post
930045525885374464,718214940251840512,Posted
804155175145533440,930045525759492096,Post
930045525759492096,804155175145533440,Posted
414365133,930045525377933318,Post
930045525377933318,414365133,Posted
862460954,930045524631343104,Post
930045524631343104,862460954,Posted
24842995,930045523989532672,Post
930045523989532672,24842995,Posted
3023672743,930045523335270400,Post
930045523335270400,3023672743,Posted
31050829,930045522861350912,Post
930045522861350912,31050829,Posted
910834757927358470,930045522483859456,Post
930045522483859456,910834757927358470,Posted
709828169,930045522345385984,Post
930045522345385984,709828169,Posted
848555241431814146,930045522307698688,Post
930045522307698688,848555241431814146,Posted
187648922,930045522026663937,Post
930045522026663937,187648922,Posted
2335844449,930045521905045505,Post
930045521905045505,2335844449,Posted
459330907,930045521582002177,Post
930045521582002177,459330907,Posted
49586855,930045520533442561,Post
930045520533442561,49586855,Posted
826311271070920704,930045520134975488,Post
930045520134975488,826311271070920704,Posted
33623630,930045520084574209,Post
930045520084574209,33623630,Posted
3839472135,930045519812014080,Post
930045519812014080,3839472135,Posted
3525192502,930045519631671297,Post
930045519631671297,3525192502,Posted
957940382,930045519245795328,Post
930045519245795328,957940382,Posted
24842995,930045518985814018,Post
930045518985814018,24842995,Posted
405580963,930045518516031489,Post
930045518516031489,405580963,Posted
319865580,930045517672919042,Post
930045517672919042,319865580,Posted
1396939398,930045517219889153,Post
930045517219889153,1396939398,Posted
712118958346743808,930045516360159232,Post
930045516360159232,712118958346743808,Posted
755040353137283072,930045516347559937,Post
930045516347559937,755040353137283072,Posted
4367426600,930045515991076864,Post
930045515991076864,4367426600,Posted
199216714,930045515856863232,Post
930045515856863232,199216714,Posted
2289998853,930045515592556545,Post
930045515592556545,2289998853,Posted
104519211,930045515248566272,Post
930045515248566272,104519211,Posted
886223970915299328,930045514711818241,Post
930045514711818241,886223970915299328,Posted
271891907,930045514707537920,Post
930045514707537920,271891907,Posted
803440993999564800,930045514518802438,Post
930045514518802438,803440993999564800,Posted
528013577,930045514485084160,Post
930045514485084160,528013577,Posted
37940975,930045514242027521,Post
930045514242027521,37940975,Posted
4231094266,930045514212573185,Post
930045514212573185,4231094266,Posted
2331639582,930045513843458048,Post
930045513843458048,2331639582,Posted
890362798961807360,930045513407369216,Post
930045513407369216,890362798961807360,Posted
894674144431718401,930045513025515522,Post
930045513025515522,894674144431718401,Posted
2572956582,930045512820166657,Post
930045512820166657,2572956582,Posted
861666919115522048,930045512815955968,Post
930045512815955968,861666919115522048,Posted
2298500222,930045512048435201,Post
930045512048435201,2298500222,Posted
154849702,930045511826059266,Post
930045511826059266,154849702,Posted
308022493,930045511805165574,Post
930045511805165574,308022493,Posted
906213110431735808,930045511368937474,Post
930045511368937474,906213110431735808,Posted
471831552,930045511306006528,Post
930045511306006528,471831552,Posted
1164575174,930045511192711169,Post
930045511192711169,1164575174,Posted
925048559283601410,930045510081269760,Post
930045510081269760,925048559283601410,Posted
54472810,930045510030729216,Post
930045510030729216,54472810,Posted
1410538838,930045509871505413,Post
930045509871505413,1410538838,Posted
203944993,930045509305221120,Post
930045509305221120,203944993,Posted
2341977604,930045509263331328,Post
930045509263331328,2341977604,Posted
1353205890,930045509015883776,Post
930045509015883776,1353205890,Posted
855908569194962945,930045508864716802,Post
930045508864716802,855908569194962945,Posted
44103717,930045508722266112,Post
930045508722266112,44103717,Posted
838468968188801024,930045507631640576,Post
930045507631640576,838468968188801024,Posted
108929732,930045507359203329,Post
930045507359203329,108929732,Posted
825016416805937152,930045507031982080,Post
930045507031982080,825016416805937152,Posted
525847693,930045504527982592,Post
930045504527982592,525847693,Posted
371082634,930045504062238722,Post
930045504062238722,371082634,Posted
53995533,930045503961780224,Post
930045503961780224,53995533,Posted
838313517723734016,930045503147933696,Post
930045503147933696,838313517723734016,Posted
47284797,930045502057582598,Post
930045502057582598,47284797,Posted
746778695130558464,930045501638086656,Post
930045501638086656,746778695130558464,Posted
17593806,930045501499756545,Post
930045501499756545,17593806,Posted
378147040,930045501487149056,Post
930045501487149056,378147040,Posted
